scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/algae/20086243	Acanthoceras zachariasii (Brun) Simonsen	https://id.biodiversity.org.au/name/algae/20089096	Attheya zachariasii Brun
https://id.biodiversity.org.au/name/algae/20007683	Acanthococcus acicularis (J.Agardh) J.Agardh	https://id.biodiversity.org.au/name/algae/20010315	Cystoclonium aciculare J.Agardh
https://id.biodiversity.org.au/name/algae/20009876	Acanthococcus pusillus (Harv.) Harv.	https://id.biodiversity.org.au/name/algae/20009290	Dicranema pusilla Harv.
https://id.biodiversity.org.au/name/algae/20006928	Acanthophora muscoides (L.) Bory	https://id.biodiversity.org.au/name/algae/20006927	Fucus muscoides L.
https://id.biodiversity.org.au/name/algae/20006930	Acanthophora spicifera (Vahl) Børgesen	https://id.biodiversity.org.au/name/algae/20010864	Fucus spiciferus Vahl
https://id.biodiversity.org.au/name/algae/20010851	Acetabularia acetabulum (L.) P.C.Silva	https://id.biodiversity.org.au/name/algae/20010852	Madrepora acetabulum L.
https://id.biodiversity.org.au/name/algae/20012625	Acetabularia crenulata var. major (G.Martens) Sond.	https://id.biodiversity.org.au/name/algae/20008785	Acetabularia major G.Martens
https://id.biodiversity.org.au/name/algae/20009135	Acetabularia peniculus (R.Br. ex Turner) Solms	https://id.biodiversity.org.au/name/algae/20009134	Fucus peniculus R.Br. ex Turner
https://id.biodiversity.org.au/name/algae/20012783	Acetabularia peniculus var. cliftonii (Harv.) Solms	https://id.biodiversity.org.au/name/algae/20008694	Polyphysa cliftonii Harv.
https://id.biodiversity.org.au/name/algae/20159569	Achnanthepyla groenlandica (Cleve) Perag.	https://id.biodiversity.org.au/name/algae/20159539	Achnanthidium groenlandicum Cleve
https://id.biodiversity.org.au/name/algae/20160518	Achnanthes affinis var. jamalinensis (Grunow) Cleve	https://id.biodiversity.org.au/name/algae/20159521	Achnanthes jamalinensis Grunow
https://id.biodiversity.org.au/name/algae/20159574	Achnanthes arctica (Cleve) A.Cleve	https://id.biodiversity.org.au/name/algae/20159535	Achnanthidium arcticum Cleve
https://id.biodiversity.org.au/name/algae/20159577	Achnanthes bongrainii (Perag.) A.Mann	https://id.biodiversity.org.au/name/algae/20159567	Achnanthepyla bongrainii Perag.
https://id.biodiversity.org.au/name/algae/20090816	Achnanthes brevipes var. angustata (Grev.) Cleve	https://id.biodiversity.org.au/name/algae/20156973	Achnanthes angustata Grev.
https://id.biodiversity.org.au/name/algae/20091101	Achnanthes brevipes var. intermedia (Kütz.) Cleve	https://id.biodiversity.org.au/name/algae/20087929	Achnanthes intermedia Kütz.
https://id.biodiversity.org.au/name/algae/20156977	Achnanthes brevipes var. parvula (Kütz.) Cleve	https://id.biodiversity.org.au/name/algae/20155873	Achnanthes parvula Kütz.
https://id.biodiversity.org.au/name/algae/20155861	Achnanthes citronella (A.Mann) Hust.	https://id.biodiversity.org.au/name/algae/20156974	Cocconeis citronella A.Mann
https://id.biodiversity.org.au/name/algae/20089692	Achnanthes coarctata (Bréb. ex W.Sm.) Grunow	https://id.biodiversity.org.au/name/algae/20159537	Achnanthidium coarctatum Bréb. ex W.Sm.
https://id.biodiversity.org.au/name/algae/20088511	Achnanthes delicatula (Kütz.) Grunow	https://id.biodiversity.org.au/name/algae/20156983	Achnanthidium delicatulum Kütz.
https://id.biodiversity.org.au/name/algae/20093116	Achnanthes delicatula subsp. hauckiana (Grunow) Lange-Bert.	https://id.biodiversity.org.au/name/algae/20086802	Achnanthes hauckiana Grunow
https://id.biodiversity.org.au/name/algae/20086801	Achnanthes exigua Grunow	https://id.biodiversity.org.au/name/algae/20159931	Stauroneis exilis Kütz.
https://id.biodiversity.org.au/name/algae/20159583	Achnanthes flexella (Kütz.) Brun	https://id.biodiversity.org.au/name/algae/20159288	Cymbella flexella Kütz.
https://id.biodiversity.org.au/name/algae/20159584	Achnanthes gainii (Perag.) A.Mann	https://id.biodiversity.org.au/name/algae/20159568	Achnanthepyla gainii Perag.
https://id.biodiversity.org.au/name/algae/20159585	Achnanthes groenlandica (Cleve) Grunow	https://id.biodiversity.org.au/name/algae/20159539	Achnanthidium groenlandicum Cleve
https://id.biodiversity.org.au/name/algae/20155864	Achnanthes grunowii K.Toyoda & D.M.Williams	https://id.biodiversity.org.au/name/algae/20156975	Achnanthes javanica var. rhombica Grunow
https://id.biodiversity.org.au/name/algae/20156982	Achnanthes hungarica (Grunow) Grunow	https://id.biodiversity.org.au/name/algae/20156981	Achnanthidium hungaricum Grunow
https://id.biodiversity.org.au/name/algae/20160541	Achnanthes hungarica var. jamalinensis (Grunow) Cleve	https://id.biodiversity.org.au/name/algae/20159521	Achnanthes jamalinensis Grunow
https://id.biodiversity.org.au/name/algae/20159586	Achnanthes inflata (Kütz.) Grunow	https://id.biodiversity.org.au/name/algae/20088989	Stauroneis inflata Kütz.
https://id.biodiversity.org.au/name/algae/20087365	Achnanthes lanceolata (Bréb. ex Kütz.) Grunow	https://id.biodiversity.org.au/name/algae/20087372	Achnanthidium lanceolatum Bréb. ex Kütz.
https://id.biodiversity.org.au/name/algae/20087368	Achnanthes linearis (W.Sm.) Grunow	https://id.biodiversity.org.au/name/algae/20159541	Achnanthidium lineare W.Sm.
https://id.biodiversity.org.au/name/algae/20155869	Achnanthes lorenziana (Grunow) Cleve	https://id.biodiversity.org.au/name/algae/20156976	Rhaphoneis lorenziana Grunow
https://id.biodiversity.org.au/name/algae/20086247	Achnanthes microcephala (Kütz.) Grunow	https://id.biodiversity.org.au/name/algae/20087933	Achnanthidium microcephalum Kütz.
https://id.biodiversity.org.au/name/algae/20091410	Achnanthes minutissima var. affinis (Grunow) Lange-Bert.	https://id.biodiversity.org.au/name/algae/20087363	Achnanthes affinis Grunow
https://id.biodiversity.org.au/name/algae/20087932	Achnanthes subatomoides (Hust.) Lange-Bert. & Archibald	https://id.biodiversity.org.au/name/algae/20089276	Navicula subatomoides Hust.
https://id.biodiversity.org.au/name/algae/20159534	Achnanthidium affine (Grunow) Czarn.	https://id.biodiversity.org.au/name/algae/20087363	Achnanthes affinis Grunow
https://id.biodiversity.org.au/name/algae/20159536	Achnanthidium biasolettianum (Grunow) Bukht.	https://id.biodiversity.org.au/name/algae/20159576	Achnanthes biasolettiana Grunow
https://id.biodiversity.org.au/name/algae/20216203	Achnanthidium biasolettianum (Grunow) Lange-Bert.	https://id.biodiversity.org.au/name/algae/20159576	Achnanthes biasolettiana Grunow
https://id.biodiversity.org.au/name/algae/20215403	Achnanthidium exile (Kütz.) Heib.	https://id.biodiversity.org.au/name/algae/20089693	Achnanthes exilis Kütz.
https://id.biodiversity.org.au/name/algae/20159538	Achnanthidium flexella (Kütz.) Bréb. ex Kütz.	https://id.biodiversity.org.au/name/algae/20159288	Cymbella flexella Kütz.
https://id.biodiversity.org.au/name/algae/20159542	Achnanthidium minutissima (Kütz.) Czarn.	https://id.biodiversity.org.au/name/algae/20087930	Achnanthes minutissima Kütz.
https://id.biodiversity.org.au/name/algae/20008933	Acinetospora crinita (Carmich. ex Harv.) Kornmann	https://id.biodiversity.org.au/name/algae/20009823	Ectocarpus crinitus Carmich. ex Harv.
https://id.biodiversity.org.au/name/algae/20009292	Acinetospora pusilla (A.W.Griffiths) De Toni	https://id.biodiversity.org.au/name/algae/20009880	Ectocarpus pusillus A.W.Griffiths
https://id.biodiversity.org.au/name/algae/20009558	Acrocarpia paniculata (Turner) Aresch.	https://id.biodiversity.org.au/name/algae/20009934	Fucus paniculatus Turner
https://id.biodiversity.org.au/name/algae/20009306	Acrocarpus crinalis (Turner) Kütz.	https://id.biodiversity.org.au/name/algae/20009307	Fucus crinalis Turner
https://id.biodiversity.org.au/name/algae/20010773	Acrocarpus intricatus (C.Agardh) Kütz.	https://id.biodiversity.org.au/name/algae/20010774	Sphaerococcus intricatus C.Agardh
https://id.biodiversity.org.au/name/algae/20009877	Acrocarpus pusillus (Stackh.) Kütz.	https://id.biodiversity.org.au/name/algae/20009878	Fucus pusillus Stackh.
https://id.biodiversity.org.au/name/algae/20011320	Acrochaetium americanum (C.C.Jao) Papenf.	https://id.biodiversity.org.au/name/algae/20011321	Colaconema americanum C.C.Jao
https://id.biodiversity.org.au/name/algae/20011315	Acrochaetium amphiroae (K.M.Drew) Papenf.	https://id.biodiversity.org.au/name/algae/20011314	Rhodochorton amphiroae K.M.Drew
