taxonID	scientificName	taxonRank	kingdom	phylum	subphylum	class	subclass	order	suborder	superfamily	family	tribe	subfamily	subtribe	genus	subgenus	section	species	higherClassification
https://id.biodiversity.org.au/instance/algae/20204330	Eukaryota	kingdom	Eukaryota																Eukaryota
https://id.biodiversity.org.au/instance/algae/20205063	Anthozoa	phylum	Eukaryota	Anthozoa															Eukaryota | Anthozoa
https://id.biodiversity.org.au/instance/algae/20206185	Coraliidae	family	Eukaryota	Anthozoa							Coraliidae								Eukaryota | Anthozoa | Coraliidae
https://id.biodiversity.org.au/instance/algae/20205064	Bacillariophyta	phylum	Eukaryota	Bacillariophyta															Eukaryota | Bacillariophyta
https://id.biodiversity.org.au/instance/algae/20205151	Bacillariophyceae	class	Eukaryota	Bacillariophyta		Bacillariophyceae													Eukaryota | Bacillariophyta | Bacillariophyceae
https://id.biodiversity.org.au/instance/algae/20205599	Achnanthales	order	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales											Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales
https://id.biodiversity.org.au/instance/algae/20206077	Achnanthaceae	family	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae								Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae
https://id.biodiversity.org.au/instance/algae/20207779	Achnanthes Bory	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes
http://id.biodiversity.org.au/instance/algae/20215641	Achnanthes adnata Bory	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes			Achnanthes adnata	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes adnata
http://id.biodiversity.org.au/instance/algae/20168870	Achnanthes brevipes var. angustata (Grev.) Cleve	variety	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes brevipes var. angustata
http://id.biodiversity.org.au/instance/algae/20215707	Achnanthes armillaris (O.F.Müll.) Guiry	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes			Achnanthes armillaris	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes armillaris
http://id.biodiversity.org.au/instance/algae/20215610	Achnanthes coarctata (Bréb. ex W.Sm.) Grunow	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes			Achnanthes coarctata	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes coarctata
http://id.biodiversity.org.au/instance/algae/20215496	Achnanthes inflata (Kütz.) Grunow	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes			Achnanthes inflata	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes inflata
http://id.biodiversity.org.au/instance/algae/20215502	Achnanthes brevipes var. intermedia (Kütz.) Cleve	variety	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes brevipes var. intermedia
http://id.biodiversity.org.au/instance/algae/20168885	Achnanthes pulchella Heiden & Kolbe	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Achnanthes			Achnanthes pulchella	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Achnanthes | Achnanthes pulchella
http://id.biodiversity.org.au/instance/algae/20215533	Platessa Lange-Bert.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Platessa				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Platessa
http://id.biodiversity.org.au/instance/algae/20215447	Platessa oblongella (Østrup) C.E.Wetzel, Lange-Bert. & Ector	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthaceae				Platessa			Platessa oblongella	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthaceae | Platessa | Platessa oblongella
https://id.biodiversity.org.au/instance/algae/20206078	Achnanthidiaceae	family	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae								Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae
https://id.biodiversity.org.au/instance/algae/20207785	Achnanthidium Kütz.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium
http://id.biodiversity.org.au/instance/algae/20215387	Achnanthidium affine (Grunow) Czarn.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium			Achnanthidium affine	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium | Achnanthidium affine
http://id.biodiversity.org.au/instance/algae/20215404	Achnanthidium exile (Kütz.) Heib.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium			Achnanthidium exile	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium | Achnanthidium exile
http://id.biodiversity.org.au/instance/algae/20215511	Achnanthidium lineare W.Sm.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium			Achnanthidium lineare	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium | Achnanthidium lineare
https://id.biodiversity.org.au/instance/algae/20237951	Achnanthidium minutissima (Kütz.) Czarn.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium			Achnanthidium minutissima	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium | Achnanthidium minutissima
http://id.biodiversity.org.au/instance/algae/20216209	Achnanthidium pyrenaicum (Hust.) H.Kobayasi	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Achnanthidium			Achnanthidium pyrenaicum	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Achnanthidium | Achnanthidium pyrenaicum
https://id.biodiversity.org.au/instance/algae/20210071	Eucocconeis Cleve	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Eucocconeis				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Eucocconeis
http://id.biodiversity.org.au/instance/algae/20215475	Gogorevia Kulikovskiy, Glushchenko, Maltsev & J.P.Kociolek	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Gogorevia				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Gogorevia
http://id.biodiversity.org.au/instance/algae/20215470	Gogorevia exilis (Kütz.) Kulikovskiy & J.P.Kociolek	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Gogorevia			Gogorevia exilis	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Gogorevia | Gogorevia exilis
https://id.biodiversity.org.au/instance/algae/20211201	Karayevia Round & Bukht.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Karayevia				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Karayevia
https://id.biodiversity.org.au/instance/algae/20211249	Kolbesia Round & Bukht.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Kolbesia				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Kolbesia
https://id.biodiversity.org.au/instance/algae/20211362	Lemnicola Round & Basson	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Lemnicola				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Lemnicola
http://id.biodiversity.org.au/instance/algae/20168892	Lemnicola hungarica (Grunow) Round & Basson	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Lemnicola			Lemnicola hungarica	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Lemnicola | Lemnicola hungarica
https://id.biodiversity.org.au/instance/algae/20212792	Planothidium Round & Bukht.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Planothidium				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Planothidium
http://id.biodiversity.org.au/instance/algae/20168894	Planothidium delicatulum (Kütz.) Round & Bukht.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Planothidium			Planothidium delicatulum	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Planothidium | Planothidium delicatulum
http://id.biodiversity.org.au/instance/algae/20215409	Planothidium hauckianum (Grunow) Bukht.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Planothidium			Planothidium hauckianum	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Planothidium | Planothidium hauckianum
http://id.biodiversity.org.au/instance/algae/20168896	Planothidium lanceolatum (Bréb. ex Kütz.) Lange-Bert.	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Planothidium			Planothidium lanceolatum	Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Planothidium | Planothidium lanceolatum
https://id.biodiversity.org.au/instance/algae/20213549	Rossithidium Round & Bukht.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Achnanthales			Achnanthidiaceae				Rossithidium				Eukaryota | Bacillariophyta | Bacillariophyceae | Achnanthales | Achnanthidiaceae | Rossithidium
https://id.biodiversity.org.au/instance/algae/20205424	Bacillariales	order	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales											Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales
https://id.biodiversity.org.au/instance/algae/20206109	Bacillariaceae	family	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae								Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae
https://id.biodiversity.org.au/instance/algae/20208312	Bacillaria J.F.Gmel.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Bacillaria				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Bacillaria
http://id.biodiversity.org.au/instance/algae/20168931	Bacillaria paxillifera (O.F.Müll.) M.Marsson	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Bacillaria			Bacillaria paxillifera	Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Bacillaria | Bacillaria paxillifera
https://id.biodiversity.org.au/instance/algae/20209403	Cylindrotheca Rabenh.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Cylindrotheca				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Cylindrotheca
http://id.biodiversity.org.au/instance/algae/20216109	Cylindrotheca closterium (Ehrenb.) Reimann & J.C.Lewin	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Cylindrotheca			Cylindrotheca closterium	Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Cylindrotheca | Cylindrotheca closterium
https://id.biodiversity.org.au/instance/algae/20209422	Cymbellonitzschia Hust.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Cymbellonitzschia				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Cymbellonitzschia
https://id.biodiversity.org.au/instance/algae/20209515	Denticula Kütz.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Denticula				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Denticula
https://id.biodiversity.org.au/instance/algae/20210186	Fragilariopsis Hust.	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Fragilariopsis				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Fragilariopsis
https://id.biodiversity.org.au/instance/algae/20210720	Hantzschia Grunow	genus	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Hantzschia				Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Hantzschia
https://id.biodiversity.org.au/instance/algae/20168939	Hantzschia amphioxys (Ehrenb.) Grunow	species	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Hantzschia			Hantzschia amphioxys	Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Hantzschia | Hantzschia amphioxys
https://id.biodiversity.org.au/instance/algae/20237155	Hantzschia amphioxys var. distinctepunctata Hust.	variety	Eukaryota	Bacillariophyta		Bacillariophyceae		Bacillariales			Bacillariaceae				Hantzschia			Hantzschia amphioxys	Eukaryota | Bacillariophyta | Bacillariophyceae | Bacillariales | Bacillariaceae | Hantzschia | Hantzschia amphioxys | Hantzschia amphioxys var. distinctepunctata
