taxonID	scientificName	taxonomicStatus	acceptedNameUsage
https://id.biodiversity.org.au/instance/algae/20215643	Achnanthes brevipes C.Agardh	nomenclatural synonym	Achnanthes adnata Bory
https://id.biodiversity.org.au/instance/algae/20180340	Achnanthes angustata Grev.	nomenclatural synonym	Achnanthes brevipes var. angustata (Grev.) Cleve
https://id.biodiversity.org.au/instance/algae/20215708	Achnanthes longipes C.Agardh	taxonomic synonym	Achnanthes armillaris (O.F.Müll.) Guiry
https://id.biodiversity.org.au/instance/algae/20215648	Achnanthidium coarctatum Bréb. ex W.Sm.	nomenclatural synonym	Achnanthes coarctata (Bréb. ex W.Sm.) Grunow
https://id.biodiversity.org.au/instance/algae/20215497	Stauroneis inflata Kütz.	nomenclatural synonym	Achnanthes inflata (Kütz.) Grunow
https://id.biodiversity.org.au/instance/algae/20215503	Achnanthes intermedia Kütz.	nomenclatural synonym	Achnanthes brevipes var. intermedia (Kütz.) Cleve
https://id.biodiversity.org.au/instance/algae/20215504	Achnanthes subsessilis Kütz.	taxonomic synonym	Achnanthes brevipes var. intermedia (Kütz.) Cleve
https://id.biodiversity.org.au/instance/algae/20215532	Achnanthes oblongella Østrup	nomenclatural synonym	Platessa oblongella (Østrup) C.E.Wetzel, Lange-Bert. & Ector
https://id.biodiversity.org.au/instance/algae/20215531	Achnanthes minutissima var. affinis (Grunow) Lange-Bert.	nomenclatural synonym	Achnanthidium affine (Grunow) Czarn.
https://id.biodiversity.org.au/instance/algae/20215457	Achnanthes affinis Grunow	nomenclatural synonym	Achnanthidium affine (Grunow) Czarn.
https://id.biodiversity.org.au/instance/algae/20215484	Achnanthes exilis Kütz.	nomenclatural synonym	Achnanthidium exile (Kütz.) Heib.
https://id.biodiversity.org.au/instance/algae/20215512	Achnanthes linearis (W.Sm.) Grunow	nomenclatural synonym	Achnanthidium lineare W.Sm.
https://id.biodiversity.org.au/instance/algae/20215513	Rossithidium lineare (W.Sm.) Round & Bukht.	nomenclatural synonym	Achnanthidium lineare W.Sm.
https://id.biodiversity.org.au/instance/algae/20237952	Microneis minutissima (Kütz.) F.Meister	nomenclatural synonym	Achnanthidium minutissima (Kütz.) Czarn.
https://id.biodiversity.org.au/instance/algae/20237953	Achnanthes minutissima Kütz.	nomenclatural synonym	Achnanthidium minutissima (Kütz.) Czarn.
https://id.biodiversity.org.au/instance/algae/20237954	Achnanthes microcephala (Kütz.) Grunow	taxonomic synonym	Achnanthidium minutissima (Kütz.) Czarn.
https://id.biodiversity.org.au/instance/algae/20237955	Achnanthes minutissima var. cryptocephala Grunow	taxonomic synonym	Achnanthidium minutissima (Kütz.) Czarn.
https://id.biodiversity.org.au/instance/algae/20237956	Achnanthidium microcephalum Kütz.	taxonomic synonym	Achnanthidium minutissima (Kütz.) Czarn.
https://id.biodiversity.org.au/instance/algae/20216211	Achnanthidium biasolettianum (Grunow) Bukht.	taxonomic synonym	Achnanthidium pyrenaicum (Hust.) H.Kobayasi
https://id.biodiversity.org.au/instance/algae/20215471	Achnanthidium exiguum (Grunow) Czarnecki	nomenclatural synonym	Gogorevia exilis (Kütz.) Kulikovskiy & J.P.Kociolek
https://id.biodiversity.org.au/instance/algae/20215472	Achnanthes exigua Grunow	nomenclatural synonym	Gogorevia exilis (Kütz.) Kulikovskiy & J.P.Kociolek
https://id.biodiversity.org.au/instance/algae/20178232	Achnanthes hungarica (Grunow) Grunow	nomenclatural synonym	Lemnicola hungarica (Grunow) Round & Basson
https://id.biodiversity.org.au/instance/algae/20180347	Achnanthidium hungaricum Grunow	nomenclatural synonym	Lemnicola hungarica (Grunow) Round & Basson
https://id.biodiversity.org.au/instance/algae/20178235	Achnanthes delicatula (Kütz.) Grunow	nomenclatural synonym	Planothidium delicatulum (Kütz.) Round & Bukht.
https://id.biodiversity.org.au/instance/algae/20180349	Achnanthidium delicatulum Kütz.	nomenclatural synonym	Planothidium delicatulum (Kütz.) Round & Bukht.
https://id.biodiversity.org.au/instance/algae/20215489	Achnanthes delicatula subsp. hauckiana (Grunow) Lange-Bert.	nomenclatural synonym	Planothidium hauckianum (Grunow) Bukht.
https://id.biodiversity.org.au/instance/algae/20215490	Achnanthes hauckiana Grunow	nomenclatural synonym	Planothidium hauckianum (Grunow) Bukht.
https://id.biodiversity.org.au/instance/algae/20181247	Achnanthes lanceolata (Bréb. ex Kütz.) Grunow	nomenclatural synonym	Planothidium lanceolatum (Bréb. ex Kütz.) Lange-Bert.
https://id.biodiversity.org.au/instance/algae/20181246	Achnanthidium lanceolatum Bréb. ex Kütz.	nomenclatural synonym	Planothidium lanceolatum (Bréb. ex Kütz.) Lange-Bert.
https://id.biodiversity.org.au/instance/algae/20178253	Bacillaria paradoxa J.F.Gmel.	taxonomic synonym	Bacillaria paxillifera (O.F.Müll.) M.Marsson
https://id.biodiversity.org.au/instance/algae/20180362	Vibrio paxillifera O.F.Müll.	nomenclatural synonym	Bacillaria paxillifera (O.F.Müll.) M.Marsson
https://id.biodiversity.org.au/instance/algae/20216110	Ceratoneis closterium Ehrenb.	nomenclatural synonym	Cylindrotheca closterium (Ehrenb.) Reimann & J.C.Lewin
https://id.biodiversity.org.au/instance/algae/20216112	Nitzschia longissima var. closterium (Ehrenb.) Van Heurck	nomenclatural synonym	Cylindrotheca closterium (Ehrenb.) Reimann & J.C.Lewin
https://id.biodiversity.org.au/instance/algae/20216111	Nitzschia closterium (Ehrenb.) W.Sm.	nomenclatural synonym	Cylindrotheca closterium (Ehrenb.) Reimann & J.C.Lewin
https://id.biodiversity.org.au/instance/algae/20180363	Eunotia amphioxys Ehrenb.	nomenclatural synonym	Hantzschia amphioxys (Ehrenb.) Grunow
https://id.biodiversity.org.au/instance/algae/20180366	Nitzschia virgata Roper	nomenclatural synonym	Hantzschia virgata (Roper) Grunow
https://id.biodiversity.org.au/instance/algae/20233269	Synedra dissipata Kütz.	nomenclatural synonym	Nitzschia dissipata (Kütz.) Rabenh.
https://id.biodiversity.org.au/instance/algae/20233270	Synedra fasciculata Ehrenb.	taxonomic synonym	Nitzschia dissipata (Kütz.) Rabenh.
https://id.biodiversity.org.au/instance/algae/20180368	Nitzschia sigma var. fasciculata Grunow	nomenclatural synonym	Nitzschia fasciculata (Grunow) Grunow
https://id.biodiversity.org.au/instance/algae/20180369	Synedra frustulum Kütz.	nomenclatural synonym	Nitzschia frustulum (Kütz.) Grunow
https://id.biodiversity.org.au/instance/algae/20233291	Ceratoneis longissima Bréb.	nomenclatural synonym	Nitzschia longissima (Bréb.) Ralfs
https://id.biodiversity.org.au/instance/algae/20180373	Synedra palea Kütz.	nomenclatural synonym	Nitzschia palea (Kütz.) W.Sm.
https://id.biodiversity.org.au/instance/algae/20130127	Nitzschia obtusa var. scalpelliformis (Grunow) Grunow	nomenclatural synonym	Nitzschia scalpelliformis Grunow
https://id.biodiversity.org.au/instance/algae/20180374	Synedra sigma Kütz.	nomenclatural synonym	Nitzschia sigma (Kütz.) W.Sm.
https://id.biodiversity.org.au/instance/algae/20233190	Nitzschia apiculata (W.Greg.) Grunow	nomenclatural synonym	Tryblionella apiculata W.Greg.
https://id.biodiversity.org.au/instance/algae/20233191	Nitzschia constricta (Kütz.) Ralfs	taxonomic synonym	Tryblionella apiculata W.Greg.
https://id.biodiversity.org.au/instance/algae/20178294	Nitzschia punctata var. coarctata (Grunow) Hust.	nomenclatural synonym	Tryblionella coarctata (Grunow) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20180389	Nitzschia coarctata Grunow	nomenclatural synonym	Tryblionella coarctata (Grunow) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20233261	Nitzschia compressa (Bailey) C.S.Boyer	nomenclatural synonym	Tryblionella compressa (Bailey) Poulin
https://id.biodiversity.org.au/instance/algae/20233262	Pyxidicula compressa Bailey	nomenclatural synonym	Tryblionella compressa (Bailey) Poulin
https://id.biodiversity.org.au/instance/algae/20180394	Nitzschia granulata Grunow	nomenclatural synonym	Tryblionella granulata (Grunow) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20233823	Nitzschia tryblionella Hantzsch	taxonomic synonym	Tryblionella hantzschiana Grunow
https://id.biodiversity.org.au/instance/algae/20180395	Nitzschia hungarica Grunow	nomenclatural synonym	Tryblionella hungarica (Grunow) Freng.
https://id.biodiversity.org.au/instance/algae/20233300	Nitzschia marginulata Grunow	nomenclatural synonym	Tryblionella marginulata (Grunow) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20233509	Nitzschia punctata (W.Sm.) Grunow	nomenclatural synonym	Tryblionella punctata W.Sm.
https://id.biodiversity.org.au/instance/algae/20180398	Synedra scalaris Ehrenb.	nomenclatural synonym	Tryblionella scalaris (Ehrenb.) Siver & P.B.Hamilton
https://id.biodiversity.org.au/instance/algae/20178308	Nitzschia scalaris (Ehrenb.) W.Sm.	nomenclatural synonym	Tryblionella scalaris (Ehrenb.) Siver & P.B.Hamilton
https://id.biodiversity.org.au/instance/algae/20233827	Nitzschia tryblionella var. victoriae (Grunow) Grunow	nomenclatural synonym	Tryblionella victoriae Grunow
https://id.biodiversity.org.au/instance/algae/20233828	Tryblionella hantzschiana var. victoriae (Grunow) Playfair	nomenclatural synonym	Tryblionella victoriae Grunow
https://id.biodiversity.org.au/instance/algae/20229111	Cocconeis placentula var. lineata (Ehrenb.) Van Heurck	nomenclatural synonym	Cocconeis lineata Ehrenb.
https://id.biodiversity.org.au/instance/algae/20180359	Cocconeis euglypta Ehrenb.	nomenclatural synonym	Cocconeis placentula var. euglypta (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20180360	Cocconeis scutellum f. parva Grunow	nomenclatural synonym	Cocconeis scutellum var. parva (Grunow) Cleve
https://id.biodiversity.org.au/instance/algae/20216717	Anomoeoneis sphaerophora var. sculpta (Ehrenb.) O.Müll.	nomenclatural synonym	Anomoeoneis sculpta (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20216719	Navicula sculpta Ehrenb.	nomenclatural synonym	Anomoeoneis sculpta (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20216721	Anomoeoneis sphaerophora f. sculpta (Ehrenb.) Krammer	nomenclatural synonym	Anomoeoneis sculpta (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20216129	Cymbella gastroides (Kütz.) Bréb. & Godey	taxonomic synonym	Cymbella aspera (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20216128	Cocconema asperum Ehrenb.	nomenclatural synonym	Cymbella aspera (Ehrenb.) Cleve
https://id.biodiversity.org.au/instance/algae/20216044	Cocconema gracile Ehrenb.	nomenclatural synonym	Cymbella gracilis (Ehrenb.) Kütz.
https://id.biodiversity.org.au/instance/algae/20217466	Cymbella naviculiformis Auersw. ex Heiberg	nomenclatural synonym	Cymbopleura naviculiformis (Auersw. ex Heiberg) K.Krammer
https://id.biodiversity.org.au/instance/algae/20217475	Cymbella cuspidata Kütz.	taxonomic synonym	Cymbopleura naviculiformis (Auersw. ex Heiberg) K.Krammer
https://id.biodiversity.org.au/instance/algae/20229588	Cymbella elginensis Krammer	nomenclatural synonym	Encyonema elginense (Krammer) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20229589	Encyonema turgidum (W.Greg.) Grunow	taxonomic synonym	Encyonema elginense (Krammer) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20229666	Cymbella turgida W.Greg.	taxonomic synonym	Encyonema elginense (Krammer) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20180406	Cymbella minuta Hilse	nomenclatural synonym	Encyonema minutum (Hilse) D.G.Mann
https://id.biodiversity.org.au/instance/algae/20232636	Navicula clementis Grunow	nomenclatural synonym	Placoneis clementis (Grunow) E.J.Cox
https://id.biodiversity.org.au/instance/algae/20230142	Gomphonema truncatum var. capitatum (Ehrenb.) Woodhead & Tweed	nomenclatural synonym	Gomphonema capitatum Ehrenb.
https://id.biodiversity.org.au/instance/algae/20230143	Gomphonema constrictum var. capitatum (Ehrenb.) Grunow	nomenclatural synonym	Gomphonema capitatum Ehrenb.
https://id.biodiversity.org.au/instance/algae/20230133	Sphenella parvula Kütz.	nomenclatural synonym	Gomphonema parvulum (Kütz.) Kütz.
https://id.biodiversity.org.au/instance/algae/20230134	Gomphonema parvulum var. lanceolatum Grunow	taxonomic synonym	Gomphonema parvulum (Kütz.) Kütz.
https://id.biodiversity.org.au/instance/algae/20230135	Gomphonema parvulum var. subcapitatum Grunow	taxonomic synonym	Gomphonema parvulum (Kütz.) Kütz.
https://id.biodiversity.org.au/instance/algae/20217588	Eunotia curvata (Kütz.) Lagerst.	taxonomic synonym	Eunotia bilunaris (Ehrenb.) Schaarschm.
https://id.biodiversity.org.au/instance/algae/20217589	Exilaria curvata Kütz.	taxonomic synonym	Eunotia bilunaris (Ehrenb.) Schaarschm.
https://id.biodiversity.org.au/instance/algae/20217590	Synedra bilunaris Ehrenb.	nomenclatural synonym	Eunotia bilunaris (Ehrenb.) Schaarschm.
https://id.biodiversity.org.au/instance/algae/20180417	Himantidium exiguum Bréb. ex Kütz.	nomenclatural synonym	Eunotia exigua (Bréb. ex Kütz.) Rabenh.
https://id.biodiversity.org.au/instance/algae/20217617	Himantidium minus Kütz.	nomenclatural synonym	Eunotia minor (Kütz.) Grunow
https://id.biodiversity.org.au/instance/algae/20217618	Eunotia pectinalis var. minor (Kütz.) Rabenh.	taxonomic synonym	Eunotia minor (Kütz.) Grunow
https://id.biodiversity.org.au/instance/algae/20217292	Himantidium pectinale Kütz.	nomenclatural synonym	Eunotia pectinalis (Kütz.) Rabenh.
https://id.biodiversity.org.au/instance/algae/20217611	Eunotia pectinalis f. impressa (O.Müll.) Ant.Mayer	taxonomic synonym	Eunotia pectinalis (Kütz.) Rabenh.
https://id.biodiversity.org.au/instance/algae/20236667	Triceratium dubium Brightw.	nomenclatural synonym	Pseudictyota dubia (Brightw.) P.A.Sims & D.M.Williams
