ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/algae/20085616	genus	Acanthoceras Honigm.	Acanthoceras				Honigm.	botanical	
https://id.biodiversity.org.au/name/algae/20086243	species	Acanthoceras zachariasii (Brun) Simonsen		Acanthoceras	zachariasii		(Brun) Simonsen	botanical	
https://id.biodiversity.org.au/name/algae/20085424	family	Acanthocerataceae	Acanthocerataceae					botanical	
https://id.biodiversity.org.au/name/algae/20005712	genus	Acanthococcus Hook.f. & Harv.	Acanthococcus				Hook.f. & Harv.	botanical	
https://id.biodiversity.org.au/name/algae/20007683	species	Acanthococcus acicularis (J.Agardh) J.Agardh		Acanthococcus	acicularis		(J.Agardh) J.Agardh	botanical	
https://id.biodiversity.org.au/name/algae/20011447	species	Acanthococcus antarcticus Hook.f. & Harv.		Acanthococcus	antarcticus		Hook.f. & Harv.	botanical	
https://id.biodiversity.org.au/name/algae/20007686	species	Acanthococcus ewingii Harv.		Acanthococcus	ewingii		Harv.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/algae/20007688	species	Acanthococcus gracilaria Sond.		Acanthococcus	gracilaria		Sond.	botanical	
https://id.biodiversity.org.au/name/algae/20011459	species	Acanthococcus obtusangulus Harv.		Acanthococcus	obtusangulus		Harv.	botanical	
https://id.biodiversity.org.au/name/algae/20009876	species	Acanthococcus pusillus (Harv.) Harv.		Acanthococcus	pusillus		(Harv.) Harv.	botanical	
https://id.biodiversity.org.au/name/algae/20006043	genus	Acanthocodium Suringar	Acanthocodium				Suringar	botanical	
https://id.biodiversity.org.au/name/algae/20009067	species	Acanthocodium fragile Suringar		Acanthocodium	fragile		Suringar	botanical	
https://id.biodiversity.org.au/name/algae/20158912	genus	Acanthodinium Kof.	Acanthodinium				Kof.	botanical	
https://id.biodiversity.org.au/name/algae/20159564	species	Acanthodinium caryophyllum Kof.		Acanthodinium	caryophyllum		Kof.	botanical	
https://id.biodiversity.org.au/name/algae/20159565	species	Acanthodinium spinosum Kof.		Acanthodinium	spinosum		Kof.	botanical	
https://id.biodiversity.org.au/name/algae/20005546	genus	Acanthophora J.V.Lamour.	Acanthophora				J.V.Lamour.	botanical	
