	ID	citation
0	https://id.biodiversity.org.au/reference/aani/20204328	Algal Subcommittee (2019), CHAH Algal Subcommittee
8	https://id.biodiversity.org.au/reference/aani/20215562	Guiry, M.D. & Guiry, G M. (2021), -. Algaebase web site: www.algaebase.org
10	https://id.biodiversity.org.au/reference/aani/20152299	McCarthy, P. (2012), Census of Australian Marine Diatoms
16	https://id.biodiversity.org.au/reference/aani/20215382	Algal Subcommittee (2021), CHAH Algal Subcommittee
35	https://id.biodiversity.org.au/reference/aani/20229575	Guiry, M.D. & Guiry, G M. (2022), -. Algaebase web site: www.algaebase.org
41	https://id.biodiversity.org.au/reference/aani/20152522	Bukhtiyarova, L. (1995), New taxonomic combinations of diatoms (Bacillariophyta). Algologia 5(4)
82	https://id.biodiversity.org.au/reference/aani/20226593	ABRS (2022), Australian Algal Name Index Edn. 2022 (Australian algal updates)
92	https://id.biodiversity.org.au/reference/aani/20077215	Entwisle, T.J. & Nairn, L. (2011), Census of Freshwater Algae in Australia. Edn. Version 1.0
97	https://id.biodiversity.org.au/reference/aani/20152461	Smith, W. (1856), Syn. Brit. Diatomaceae 2
155	https://id.biodiversity.org.au/reference/aani/20225451	Algal Subcommittee (2022), CHAH Algal Subcommittee
414	https://id.biodiversity.org.au/reference/aani/20080130	Van Heurck, H.F. (1880), Synopsis des Diatomées de Belgique: Atlas
415	https://id.biodiversity.org.au/reference/aani/20152355	Perag., H. & Perag., M. (1897), Diatomées Marines de France et des Districts Maritimes Voisins
419	https://id.biodiversity.org.au/reference/aani/20083051	Lange-Bertalot, H. (1993), 85 Neue Taxa und über 100 weitere neu definierte Taxa ergänzend zur Süsswasserflora von Mitteleuropa vol. 2/1-4. Bibliotheca Diatomologica 27
490	https://id.biodiversity.org.au/reference/aani/20081257	Van Heurck, H.F. (1896), A treatise on the Diatomaceae. Translated by W.E. Baxter
597	https://id.biodiversity.org.au/reference/aani/20079392	Kuntze, O. (1891), Revisio Generum Plantarum. Pars II
603	https://id.biodiversity.org.au/reference/aani/20079388	Kützing, F.T. (1844), Die Kieselschaligen Bacillarien oder Diatomeen
604	https://id.biodiversity.org.au/reference/aani/20079393	Kuntze, O. (1891), Revisio Generum Plantarum. Pars II
649	https://id.biodiversity.org.au/reference/aani/20083318	Cleve, P.T. (1895), Synopsis of the naviculoid diatoms. Part 2. Kongliga Svenska Vetenskapsakademiens Handlingar 27(3)
692	https://id.biodiversity.org.au/reference/aani/20155633	ABRS (2008), Australian Algal Name Index Edn. 2008
736	https://id.biodiversity.org.au/reference/aani/20083582	De Toni, G.B. (1892), Ueber die Bacillarien-Gattung Lysigonium Link. Bulletin de la Société Impériale de Naturalistes de Moscou 6(1)
837	https://id.biodiversity.org.au/reference/aani/20079403	Hustedt, F. (1957), Die Diatomeenflora des Fluss-systems der Weser im Gebiet der Hansestadt Bremen. Abhandlungen der Naturwissenschaftlichen Verein zu Bremen 34(3)
953	https://id.biodiversity.org.au/reference/aani/20238269	ABRS (2023), Australian Algal Name Index Edn. 2023 (Australian algal updates)
1452	https://id.biodiversity.org.au/reference/aani/20078938	Kützing, F.T. (1849), Species Algarum [i]-vi, [1]-922
1482	https://id.biodiversity.org.au/reference/aani/20004682	Kraft, G.T. (2007), Marine Benthic Algae of Lord Howe Island and the Southern Great Barrier Reef, 1. Green Algae
1486	https://id.biodiversity.org.au/reference/aani/20005018	ABRS (2011), Australian Algal Name Index Edn. 2011
1757	https://id.biodiversity.org.au/reference/aani/20082332	Hansgirg, A. (1893), Prodromus der Algenflora von Böhmen. Zweiter Theil welcher die blaugrünen Algae (Myxophyceen, Cyanophyceen), nebst Nachträgen zum ersten Theile und einer systmatischen Bearbeitung der in Böhmen verbreiten saprophytischen Bacterien und Euglenen enhält. Mit den opiz-preise Gekrönte Arbeit auf Kosten des Opizfondes. Archiv für die naturwissenschaftliche Landesdurchforschung von Böhmen 8(4)
