scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/ausmoss/10003251	Acanthocladium crinitum (Hook.f. & Wilson) Broth. ex Paris	https://id.biodiversity.org.au/name/ausmoss/10004516	Hypnum crinitum Hook.f. & Wilson
https://id.biodiversity.org.au/name/ausmoss/10003253	Acanthocladium extenuatum (Brid.) Mitt.	https://id.biodiversity.org.au/name/ausmoss/10004531	Hypnum extenuatum Brid.
https://id.biodiversity.org.au/name/ausmoss/10003256	Acanthocladium pseudoextenuatum Müll.Hal. ex Burges	https://id.biodiversity.org.au/name/ausmoss/10004596	Hypnum pseudoextenuatum Müll.Hal. ex F.Muell.
https://id.biodiversity.org.au/name/ausmoss/10003259	Acanthocladium subextenuatum Müll.Hal. ex F.Muell.	https://id.biodiversity.org.au/name/ausmoss/10004631	Hypnum subextenuatum Müll.Hal. ex F.Muell.
https://id.biodiversity.org.au/name/ausmoss/10001789	Acanthorrhynchium papillatum (Harv.) M.Fleisch.	https://id.biodiversity.org.au/name/ausmoss/10006147	Hypnum papillatum Harv.
https://id.biodiversity.org.au/name/ausmoss/10006676	Acaulon apiculatum var. turgidum (Mitt.) Mitt.	https://id.biodiversity.org.au/name/ausmoss/10006789	Phascum apiculatum var. turgidum Mitt.
https://id.biodiversity.org.au/name/ausmoss/10006518	Acaulon integrifolium var. aristatum (J.H.Willis) J.H.Willis	https://id.biodiversity.org.au/name/ausmoss/10006675	Acaulon apiculatum var. aristatum J.H.Willis
https://id.biodiversity.org.au/name/ausmoss/10006616	Acaulon muticum var. mediterraneum (Limpr.) Sérgio	https://id.biodiversity.org.au/name/ausmoss/10002147	Acaulon mediterraneum Limpr.
https://id.biodiversity.org.au/name/ausmoss/10002149	Acaulon triquetrum (Spruce) Müll.Hal.	https://id.biodiversity.org.au/name/ausmoss/10006145	Phascum triquetrum Spruce
https://id.biodiversity.org.au/name/ausmoss/10003264	Acaulon turgidum (Mitt.) Mitt.	https://id.biodiversity.org.au/name/ausmoss/10006789	Phascum apiculatum var. turgidum Mitt.
https://id.biodiversity.org.au/name/ausmoss/10002052	Achrophyllum dentatum (Hook.f. & Wilson) Vitt & Crosby	https://id.biodiversity.org.au/name/ausmoss/10006352	Hookeria dentata Hook.f. & Wilson
https://id.biodiversity.org.au/name/ausmoss/10001791	Achrophyllum wattsii H.P.Ramsay	https://id.biodiversity.org.au/name/ausmoss/10002920	Pterygophyllum wattsii Broth.
https://id.biodiversity.org.au/name/ausmoss/10003265	Achyrophyllum aciculare (Brid.) J.Shaw	https://id.biodiversity.org.au/name/ausmoss/10004481	Hypnum aciculare Brid.
https://id.biodiversity.org.au/name/ausmoss/209690	Acrobolbus cinerascens (Lehm. & Lindenb.) Bastow	https://id.biodiversity.org.au/name/ausmoss/209686	Jungermannia cinerascens Lehm. & Lindenb.
https://id.biodiversity.org.au/name/ausmoss/135853	Acrobolbus cinerascens (Lehm. & Lindenb.) Schiffn.	https://id.biodiversity.org.au/name/ausmoss/209686	Jungermannia cinerascens Lehm. & Lindenb.
https://id.biodiversity.org.au/name/ausmoss/135196	Acrobolbus concinnus (Mitt.) Grolle	https://id.biodiversity.org.au/name/ausmoss/209691	Gymnanthe concinna Mitt.
https://id.biodiversity.org.au/name/ausmoss/209781	Acrobolbus ochrophyllus (Hook.f. & Taylor) R.M.Schust.	https://id.biodiversity.org.au/name/ausmoss/209771	Jungermannia ochrophylla Hook.f. & Taylor
https://id.biodiversity.org.au/name/ausmoss/3752517	Acrobolbus pseudosaccatus (Grolle) Briscoe	https://id.biodiversity.org.au/name/ausmoss/125558	Tylimanthus pseudosaccatus Grolle
https://id.biodiversity.org.au/name/ausmoss/211434	Acrobolbus saccatus (Hook.) Trevis.	https://id.biodiversity.org.au/name/ausmoss/211432	Jungermannia saccata Hook.
https://id.biodiversity.org.au/name/ausmoss/210866	Acrobolbus surculosus (Nees) Trevis.	https://id.biodiversity.org.au/name/ausmoss/210862	Scapania surculosa Nees
https://id.biodiversity.org.au/name/ausmoss/211435	Acrobolbus tenellus (Hook.f. & Taylor) Trevis.	https://id.biodiversity.org.au/name/ausmoss/211403	Jungermannia tenella Hook.f. & Taylor
https://id.biodiversity.org.au/name/ausmoss/210451	Acrobolbus unguiculata (Hook.f. & Taylor) Mitt.	https://id.biodiversity.org.au/name/ausmoss/210449	Jungermannia unguiculata Hook.f. & Taylor
https://id.biodiversity.org.au/name/ausmoss/10003267	Acroceratium cymbifolioides Müll.Hal. ex F.M.Bailey	https://id.biodiversity.org.au/name/ausmoss/10005023	Orthorrhynchium cymbifolioides Müll.Hal.
https://id.biodiversity.org.au/name/ausmoss/10003268	Acroceratium politum (Hook.f. & Wilson) Mitt.	https://id.biodiversity.org.au/name/ausmoss/10004591	Hypnum politum Hook.f. & Wilson
https://id.biodiversity.org.au/name/ausmoss/137899	Acrochila biserialis (Lehm. & Lindenb.) Grolle	https://id.biodiversity.org.au/name/ausmoss/209789	Plagiochila biserialis Lehm. & Lindenb.
https://id.biodiversity.org.au/name/ausmoss/209793	Acrochila simpsonii (W.Martin & E.A.Hodgs.) R.M.Schust.	https://id.biodiversity.org.au/name/ausmoss/209791	Plagiochila simpsonii W.Martin & E.A.Hodgs.
https://id.biodiversity.org.au/name/ausmoss/10001796	Acrocladium chlamydophyllum (Hook.f. & Wilson) Müll.Hal. & Broth.	https://id.biodiversity.org.au/name/ausmoss/10004505	Hypnum chlamydophyllum Hook.f. & Wilson
https://id.biodiversity.org.au/name/ausmoss/10001797	Acrocladium cuspidatum (Hedw.) Lindb.	https://id.biodiversity.org.au/name/ausmoss/10006182	Hypnum cuspidatum Hedw.
https://id.biodiversity.org.au/name/ausmoss/10003270	Acrocladium politum (Hook.f. & Wilson) Mitt.	https://id.biodiversity.org.au/name/ausmoss/10004591	Hypnum politum Hook.f. & Wilson
https://id.biodiversity.org.au/name/ausmoss/121279	Acrolejeunea (Spruce) Schiffn.	https://id.biodiversity.org.au/name/ausmoss/234492	Lejeunea subg. Acrolejeunea Spruce
https://id.biodiversity.org.au/name/ausmoss/137823	Acrolejeunea aulacophora (Mont.) Steph.	https://id.biodiversity.org.au/name/ausmoss/209794	Phragmicoma aulacophora Mont.
https://id.biodiversity.org.au/name/ausmoss/121280	Acrolejeunea pycnoclada (Taylor) Schiffn.	https://id.biodiversity.org.au/name/ausmoss/209796	Ptychanthus pycnocladus Taylor
https://id.biodiversity.org.au/name/ausmoss/122781	Acrolejeunea securifolia (Nees) Steph. & Watts	https://id.biodiversity.org.au/name/ausmoss/209799	Jungermannia securifolia Nees
https://id.biodiversity.org.au/name/ausmoss/209801	Acrolejeunea wildii Steph. ex Watts	https://id.biodiversity.org.au/name/ausmoss/209800	Lejeunea wildii Steph.
https://id.biodiversity.org.au/name/ausmoss/138159	Acromastigum anisostomum (Lehm. & Lindenb.) A.Evans	https://id.biodiversity.org.au/name/ausmoss/209807	Jungermannia anisostoma Lehm. & Lindenb.
https://id.biodiversity.org.au/name/ausmoss/122596	Acromastigum colensoanum (Mitt.) A.Evans ex Reimers	https://id.biodiversity.org.au/name/ausmoss/209809	Mastigobryum colensoanum Mitt.
https://id.biodiversity.org.au/name/ausmoss/199147	Acromastigum cunninghamii (Steph.) A.Evans	https://id.biodiversity.org.au/name/ausmoss/234726	Bazzania cunninghamii Steph.
https://id.biodiversity.org.au/name/ausmoss/164992	Acromastigum echinatiforme (De Not.) A.Evans	https://id.biodiversity.org.au/name/ausmoss/234752	Mastigobryum echinatiforme De Not.
https://id.biodiversity.org.au/name/ausmoss/123225	Acromastigum exiguum (Steph.) A.Evans	https://id.biodiversity.org.au/name/ausmoss/209814	Mastigobryum exiguum Steph.
https://id.biodiversity.org.au/name/ausmoss/241847	Acromastigum furcatifolium (Steph.) E.A.Br.	https://id.biodiversity.org.au/name/ausmoss/210756	Lepidozia furcatifolia Steph.
https://id.biodiversity.org.au/name/ausmoss/210590	Acromastigum integrifolium (Austin) A.Evans	https://id.biodiversity.org.au/name/ausmoss/210589	Mastigobryum integrifolium Austin
https://id.biodiversity.org.au/name/ausmoss/164994	Acromastigum mooreanum (Steph.) E.A.Hodgs.	https://id.biodiversity.org.au/name/ausmoss/209816	Bazzania mooreana Steph.
