ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/ausmoss/10001614	genus	Acanthocladium Mitt.	Acanthocladium				Mitt.	botanical	nom. illeg.
https://id.biodiversity.org.au/name/ausmoss/10003251	species	Acanthocladium crinitum (Hook.f. & Wilson) Broth. ex Paris		Acanthocladium	crinitum		(Hook.f. & Wilson) Broth. ex Paris	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003252	species	Acanthocladium crossii Broth. & Geh. ex Broth.		Acanthocladium	crossii		Broth. & Geh. ex Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003253	species	Acanthocladium extenuatum (Brid.) Mitt.		Acanthocladium	extenuatum		(Brid.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006902	form	Acanthocladium extenuatum f. flagellaris Broth. ex Watts		Acanthocladium	extenuatum	flagellaris	Broth. ex Watts	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10006674	variety	Acanthocladium extenuatum var. rivuletorum Broth. ex Weymouth		Acanthocladium	extenuatum	rivuletorum	Broth. ex Weymouth	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003254	species	Acanthocladium macgregorii (Broth. & Geh.) Broth.		Acanthocladium	macgregorii		(Broth. & Geh.) Broth.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003255	species	Acanthocladium macroextenuatum Müll.Hal. ex Burges		Acanthocladium	macroextenuatum		Müll.Hal. ex Burges	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003256	species	Acanthocladium pseudoextenuatum Müll.Hal. ex Burges		Acanthocladium	pseudoextenuatum		Müll.Hal. ex Burges	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003257	species	Acanthocladium rigidifolium Dixon		Acanthocladium	rigidifolium		Dixon	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003258	species	Acanthocladium sericeum Broth. ex Burges		Acanthocladium	sericeum		Broth. ex Burges	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/10003259	species	Acanthocladium subextenuatum Müll.Hal. ex F.Muell.		Acanthocladium	subextenuatum		Müll.Hal. ex F.Muell.	botanical	nom. inval., nom. nud.
https://id.biodiversity.org.au/name/ausmoss/207938	genus	Acanthocoleus R.M.Schust.	Acanthocoleus				R.M.Schust.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001783	genus	Acanthodium Mitt.	Acanthodium				Mitt.	botanical	nom. illeg.
https://id.biodiversity.org.au/name/ausmoss/10006407	species	Acanthodium rigidum Mitt.		Acanthodium	rigidum		Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001297	genus	Acanthorrhynchium M.Fleisch.	Acanthorrhynchium				M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001789	species	Acanthorrhynchium papillatum (Harv.) M.Fleisch.		Acanthorrhynchium	papillatum		(Harv.) M.Fleisch.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001298	genus	Acaulon Müll.Hal.	Acaulon				Müll.Hal.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003260	species	Acaulon apiculatum Mitt.		Acaulon	apiculatum		Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006675	variety	Acaulon apiculatum var. aristatum J.H.Willis		Acaulon	apiculatum	aristatum	J.H.Willis	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006676	variety	Acaulon apiculatum var. turgidum (Mitt.) Mitt.		Acaulon	apiculatum	turgidum	(Mitt.) Mitt.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003261	species	Acaulon austromuticum Geh. ex G.Roth		Acaulon	austromuticum		Geh. ex G.Roth	botanical	
https://id.biodiversity.org.au/name/ausmoss/10003262	species	Acaulon brisbanicum Müll.Hal.		Acaulon	brisbanicum		Müll.Hal.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002142	species	Acaulon chrysacanthum I.G.Stone		Acaulon	chrysacanthum		I.G.Stone	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002143	species	Acaulon crassinervium Müll.Hal.		Acaulon	crassinervium		Müll.Hal.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10001790	species	Acaulon eremicola I.G.Stone		Acaulon	eremicola		I.G.Stone	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002144	species	Acaulon granulosum I.G.Stone		Acaulon	granulosum		I.G.Stone	botanical	
https://id.biodiversity.org.au/name/ausmoss/10002145	species	Acaulon integrifolium Müll.Hal.		Acaulon	integrifolium		Müll.Hal.	botanical	
https://id.biodiversity.org.au/name/ausmoss/10006518	variety	Acaulon integrifolium var. aristatum (J.H.Willis) J.H.Willis		Acaulon	integrifolium	aristatum	(J.H.Willis) J.H.Willis	botanical	
