	ID	citation
0	https://id.biodiversity.org.au/reference/ausmoss/10018098	Klazenga, N. (2015), AusMoss: Catalogue of Australian mosses
1	https://id.biodiversity.org.au/reference/ausmoss/8508300	Renzaglia, K.S., Villarreal, J.C. & Duff, R.J. in Goffinet, B. & Shaw, A.J. (ed.) (2009), New insights into morphology, anatomy and systematics of hornworts. Bryophyte Biology Edn. 2
5	https://id.biodiversity.org.au/reference/ausmoss/49840	CHAH (2011), Australian Plant Census
6	https://id.biodiversity.org.au/reference/ausmoss/48872	CHAH (2010), Australian Plant Census
7	https://id.biodiversity.org.au/reference/ausmoss/45090	McCarthy, P.M. (2003), Catalogue of Australian Liverworts and Hornworts
10	https://id.biodiversity.org.au/reference/ausmoss/53212	Cargill, D.C., Söderström, L., Hagborg, A. & Konrat, M. von (2013), Notes on Early Land Plants Today. 23. A new synonym in Anthoceros (Anthocerotaceae, Anthocerotophyta). Phytotaxa 76(3)
15	https://id.biodiversity.org.au/reference/ausmoss/45151	Bhardwaj, D.C. (1975), Geophytology 5
28	https://id.biodiversity.org.au/reference/ausmoss/45341	Pócs, T. & Streimann, H. (1999), Epiphyllous liverworts from Queensland, Australia. Bryobrothera 5
42	https://id.biodiversity.org.au/reference/ausmoss/53277	CHAH (2013), Australian Plant Census
62	https://id.biodiversity.org.au/reference/ausmoss/47940	Cargill, D.C. & Fuhrer, B.A. (2008), Taxonomic Studies of the Australian Anthocerotophyta II: the genus Phaeoceros. Fieldiana, Botany, n.s 47
71	https://id.biodiversity.org.au/reference/ausmoss/10051118	Goffinet, B. & W.R. Buck (2017), Classification: mosses
76	https://id.biodiversity.org.au/reference/ausmoss/10152027	Klazenga, N. (2023), Census of Australian bryophytes
199	https://id.biodiversity.org.au/reference/ausmoss/10144131	Klazenga, N. (2019), Census of Australian bryophytes
519	https://id.biodiversity.org.au/reference/ausmoss/10050966	Klazenga, N. (2017), AusMoss: Catalogue of Australian mosses
840	https://id.biodiversity.org.au/reference/ausmoss/10130538	Klazenga, N. (2018), AusMoss: Catalogue of Australian mosses
1997	https://id.biodiversity.org.au/reference/ausmoss/10146140	Klazenga, N. (27 July 2021), Census of Australian bryophytes
