scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/fungi/60032602	Absidia corymbifera (Cohn) Sacc. & Trotter	https://id.biodiversity.org.au/name/fungi/60032603	Mucor corymbifer Cohn
https://id.biodiversity.org.au/name/fungi/60022112	Abstoma purpureum (Lloyd) G.Cunn.	https://id.biodiversity.org.au/name/fungi/60022113	Catastoma purpurea Lloyd
https://id.biodiversity.org.au/name/fungi/60030241	Acanthophysium aurantium (Pers.) G.Cunn.	https://id.biodiversity.org.au/name/fungi/60030242	Corticium aurantium Pers.
https://id.biodiversity.org.au/name/fungi/60030245	Acanthophysium australiense (Wakef.) G.Cunn.	https://id.biodiversity.org.au/name/fungi/60030244	Aleurodiscus australiensis Wakef.
https://id.biodiversity.org.au/name/fungi/60027117	Acanthophysium nivosum (Berk. & M.A.Curtis ex Höhn. & Litsch.) G.Cunn.	https://id.biodiversity.org.au/name/fungi/60027118	Aleurodiscus nivosus Berk. & M.A.Curtis ex Höhn. & Litsch.
https://id.biodiversity.org.au/name/fungi/60030255	Acanthophysium sparsum (Berk.) G.Cunn.	https://id.biodiversity.org.au/name/fungi/60030256	Stereum sparsum Berk.
https://id.biodiversity.org.au/name/fungi/60020603	Acremonium blochii (Matr.) W.Gams	https://id.biodiversity.org.au/name/fungi/60020604	Mastigocladium blochii Matr.
https://id.biodiversity.org.au/name/fungi/60020608	Acremonium falciforme (Carrion) W.Gams	https://id.biodiversity.org.au/name/fungi/60020609	Cephalosporium falciforme Carrion
https://id.biodiversity.org.au/name/fungi/60020611	Acremonium fusidioides (Nicot) W.Gams	https://id.biodiversity.org.au/name/fungi/60020612	Paecilomyces fusidioides Nicot
https://id.biodiversity.org.au/name/fungi/60020613	Acremonium implicatum (J.C.Gilman & E.V.Abbott) W.Gams	https://id.biodiversity.org.au/name/fungi/60020616	Monilia implicata J.C.Gilman & E.V.Abbott
https://id.biodiversity.org.au/name/fungi/60020632	Acremonium murorum (Corda) W.Gams	https://id.biodiversity.org.au/name/fungi/60020633	Torula murorum Corda
https://id.biodiversity.org.au/name/fungi/60020620	Acremonium persicinum (Nicot) W.Gams	https://id.biodiversity.org.au/name/fungi/60020621	Paecilomyces persicinus Nicot
https://id.biodiversity.org.au/name/fungi/60020614	Acremonium terricola (J.H.Mill., Giddens & A.A.Foster) W.Gams	https://id.biodiversity.org.au/name/fungi/60020615	Fusidium terricola J.H.Mill., Giddens & A.A.Foster
https://id.biodiversity.org.au/name/fungi/60020623	Acremonium zonatum (Sawada) W.Gams	https://id.biodiversity.org.au/name/fungi/60020624	Cephalosporium zonatum Sawada
https://id.biodiversity.org.au/name/fungi/60016698	Acroconidiella tropaeoli (T.E.T.Bond) J.C.Lindq. & Alippi	https://id.biodiversity.org.au/name/fungi/60016699	Heterosporium tropaeoli T.E.T.Bond
https://id.biodiversity.org.au/name/fungi/60018874	Acrodontium crateriforme (J.F.H.Beyma) de Hoog	https://id.biodiversity.org.au/name/fungi/60018875	Chloridium crateriforme J.F.H.Beyma
https://id.biodiversity.org.au/name/fungi/60017601	Acrogenospora sphaerocephala (Berk. & Broome) M.B.Ellis	https://id.biodiversity.org.au/name/fungi/60017602	Monotospora sphaerocephala Berk. & Broome
https://id.biodiversity.org.au/name/fungi/60018876	Acrophialophora fusispora (S.B.Saksena) Samson	https://id.biodiversity.org.au/name/fungi/60018877	Paecilomyces fusisporus S.B.Saksena
https://id.biodiversity.org.au/name/fungi/60017647	Acrospeira asperospora (Cooke & Massee) Wiltshire	https://id.biodiversity.org.au/name/fungi/60074552	Monotospora asperospora Cooke & Massee
