taxonID	scientificName	taxonRank	kingdom	phylum	subphylum	class	subclass	order	suborder	superfamily	family	tribe	subfamily	subtribe	genus	subgenus	section	species	higherClassification
https://id.biodiversity.org.au/instance/fungi/60054518	Eukaryota	domain																	Eukaryota
https://id.biodiversity.org.au/instance/fungi/60054519	Chromista	kingdom	Chromista																Eukaryota | Chromista
https://id.biodiversity.org.au/instance/fungi/60054522	Bigyra	phylum	Chromista	Bigyra															Eukaryota | Chromista | Bigyra
https://id.biodiversity.org.au/instance/fungi/60054547	Labyrinthulea	class	Chromista	Bigyra		Labyrinthulea													Eukaryota | Chromista | Bigyra | Labyrinthulea
https://id.biodiversity.org.au/instance/fungi/60054601	Thraustochytriida	order	Chromista	Bigyra		Labyrinthulea		Thraustochytriida											Eukaryota | Chromista | Bigyra | Labyrinthulea | Thraustochytriida
https://id.biodiversity.org.au/instance/fungi/60054733	Thraustochytriaceae	family	Chromista	Bigyra		Labyrinthulea		Thraustochytriida			Thraustochytriaceae								Eukaryota | Chromista | Bigyra | Labyrinthulea | Thraustochytriida | Thraustochytriaceae
https://id.biodiversity.org.au/instance/fungi/60055135	Thraustochytrium Sparrow	genus	Chromista	Bigyra		Labyrinthulea		Thraustochytriida			Thraustochytriaceae				Thraustochytrium				Eukaryota | Chromista | Bigyra | Labyrinthulea | Thraustochytriida | Thraustochytriaceae | Thraustochytrium
https://id.biodiversity.org.au/instance/fungi/60057298	Thraustochytrium proliferum Sparrow	species	Chromista	Bigyra		Labyrinthulea		Thraustochytriida			Thraustochytriaceae				Thraustochytrium			Thraustochytrium proliferum	Eukaryota | Chromista | Bigyra | Labyrinthulea | Thraustochytriida | Thraustochytriaceae | Thraustochytrium | Thraustochytrium proliferum
https://id.biodiversity.org.au/instance/fungi/60054523	Oomycota	phylum	Chromista	Oomycota															Eukaryota | Chromista | Oomycota
https://id.biodiversity.org.au/instance/fungi/60054548	Hyphochytrea	class	Chromista	Oomycota		Hyphochytrea													Eukaryota | Chromista | Oomycota | Hyphochytrea
