taxonID	scientificName	taxonomicStatus	acceptedNameUsage
https://id.biodiversity.org.au/instance/fungi/60066362	Anisolpidium elongatum Karling	nomenclatural synonym	Hyphochytrium elongatum (Karling) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066363	Rhizidiomycopsis bullata Sparrow	nomenclatural synonym	Rhizidiomyces bullatus (Sparrow) Karling
https://id.biodiversity.org.au/instance/fungi/60066364	Albugo mesembryanthemi S.D.Baker	taxonomic synonym	Albugo trianthemi G.W.Wilson
https://id.biodiversity.org.au/instance/fungi/60066365	Albugo hydrocotyles Petr.	nomenclatural synonym	Pustula hydrocotyles (Petr.) Thines
https://id.biodiversity.org.au/instance/fungi/60066366	Chytridium sphacelarum Kny	nomenclatural synonym	Anisolpidium sphacelarum (Kny) Karling
https://id.biodiversity.org.au/instance/fungi/60066367	Olpidiopsis gracilis (E.J.Butler) Karling	nomenclatural synonym	Gracea gracilis (E.J.Butler) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066368	Pseudolpidium gracile E.J.Butler	nomenclatural synonym	Gracea gracilis (E.J.Butler) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066369	Chytridium saprolegniae A.Braun	synonym	Olpidiopsis saprolegniae (A.Braun) Cornu
https://id.biodiversity.org.au/instance/fungi/60066370	Lagenidium humanum Karling	nomenclatural synonym	Myzocytiopsis humana (Karling) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066371	Phytophthora avicenniae Gerr.-Corn. & J.A.Simpson	nomenclatural synonym	Halophytophthora avicenniae (Gerr.-Corn. & J.A.Simpson) H.H.Ho & S.C.Jong
https://id.biodiversity.org.au/instance/fungi/60066372	Phytophthora batemanensis Gerr.-Corn. & J.A.Simpson	nomenclatural synonym	Halophytophthora batemanensis (Gerr.-Corn. & J.A.Simpson) H.H.Ho & S.C.Jong
https://id.biodiversity.org.au/instance/fungi/60066373	Phytophthora operculata Pegg & Alcorn	nomenclatural synonym	Halophytophthora operculata (Pegg & Alcorn) H.H.Ho & S.C.Jong
https://id.biodiversity.org.au/instance/fungi/60066374	Phytophthora polymorphica Gerr.-Corn. & J.A.Simpson	nomenclatural synonym	Halophytophthora polymorphica (Gerr.-Corn. & J.A.Simpson) H.H.Ho & S.C.Jong
https://id.biodiversity.org.au/instance/fungi/60066375	Peronospora lepidii (McAlpine) G.W.Wilson	synonym	Perofascia lepidii (McAlpine) Constant.
https://id.biodiversity.org.au/instance/fungi/60073932	Peronospora parasitica var. lepidii McAlpine	nomenclatural synonym	Perofascia lepidii (McAlpine) Constant.
https://id.biodiversity.org.au/instance/fungi/60066377	Peronospora maydis Racib.	nomenclatural synonym	Peronosclerospora maydis (Racib.) C.G.Shaw
https://id.biodiversity.org.au/instance/fungi/60066378	Sclerospora maydis (Racib.) E.J.Butler	nomenclatural synonym	Peronosclerospora maydis (Racib.) C.G.Shaw
https://id.biodiversity.org.au/instance/fungi/60066379	Sclerospora noblei W.Weston	nomenclatural synonym	Peronosclerospora noblei (W.Weston) C.G.Shaw
https://id.biodiversity.org.au/instance/fungi/60066381	Sclerospora sorghi W.Weston & Uppal	nomenclatural synonym	Peronosclerospora sorghi (W.Weston & Uppal) C.G.Shaw
https://id.biodiversity.org.au/instance/fungi/60066382	Pythiacystis citrophthora R.E.Sm. & E.H.Sm.	nomenclatural synonym	Phytophthora citrophthora (R.E.Sm. & E.H.Sm.) Leonian
https://id.biodiversity.org.au/instance/fungi/60066383	Pythiomorpha gonapodyides H.E.Petersen	nomenclatural synonym	Phytophthora gonapodyides (H.E.Petersen) Buisman
https://id.biodiversity.org.au/instance/fungi/60066384	Phytophthora parasitica Dastur	taxonomic synonym	Phytophthora nicotianae Breda de Haan
https://id.biodiversity.org.au/instance/fungi/60073933	Phytophthora nicotianae var. nicotianae	taxonomic synonym	Phytophthora nicotianae Breda de Haan
https://id.biodiversity.org.au/instance/fungi/60073934	Phytophthora nicotianae var. parasitica (Dastur) G.M.Waterh.	taxonomic synonym	Phytophthora nicotianae Breda de Haan
https://id.biodiversity.org.au/instance/fungi/60066385	Lagenidium rabenhorstii Zopf	nomenclatural synonym	Myzocytium rabenhorstii (Zopf) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066386	Pythium helicoides Drechsler	nomenclatural synonym	Ovatisporangium helicoides (Drechsler) Uzuhashi, Tojo & Kakish.
https://id.biodiversity.org.au/instance/fungi/60066387	Pythium butleri Subraman.	taxonomic synonym	Pythium aphanidermatum (Edson) Fitzp.
https://id.biodiversity.org.au/instance/fungi/60066388	Rheosporangium aphanidermatum Edson	nomenclatural synonym	Pythium aphanidermatum (Edson) Fitzp.
https://id.biodiversity.org.au/instance/fungi/60066389	Pythium destruens Shipton	taxonomic synonym	Pythium insidiosum De Cock, L.Mend., A.A.Padhye, Ajello & Kaufman
https://id.biodiversity.org.au/instance/fungi/60066390	Pythium proliferum de Bary	taxonomic synonym	Pythium middletoni Sparrow
https://id.biodiversity.org.au/instance/fungi/60066393	Sapromyces reinschii (J.Schröt.) Fritsch	taxonomic synonym	Sapromyces elongatus (Cornu) Thaxt.
https://id.biodiversity.org.au/instance/fungi/60066391	Naegeliella reinschii J.Schröt.	taxonomic synonym	Sapromyces elongatus (Cornu) Thaxt.
https://id.biodiversity.org.au/instance/fungi/60066392	Rhipidium elongatum Cornu	nomenclatural synonym	Sapromyces elongatus (Cornu) Thaxt.
https://id.biodiversity.org.au/instance/fungi/60066394	Olpidiopsis irregularis Const.	nomenclatural synonym	Cornumyces irregularis (Const.) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066395	Petersenia irregularis (Const.) Sparrow	nomenclatural synonym	Cornumyces irregularis (Const.) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066396	Lagenidium pygmaeum Zopf	nomenclatural synonym	Cornumyces pygmaeus (Zopf) M.W.Dick
https://id.biodiversity.org.au/instance/fungi/60066397	Achlya oblongata de Bary	nomenclatural synonym	Newbya oblongata (de Bary) Mark A.Spencer
https://id.biodiversity.org.au/instance/fungi/60073935	Saprolegnia ferax var. hypogyna Pringsh.	nomenclatural synonym	Saprolegnia hypogyna (Pringsh.) de Bary
https://id.biodiversity.org.au/instance/fungi/60067117	Lecidea parmeliarum Sommerf.	synonym	Abrothallus parmeliarum (Sommerf.) Arnold
https://id.biodiversity.org.au/instance/fungi/60067118	Chloridium crateriforme J.F.H.Beyma	nomenclatural synonym	Acrodontium crateriforme (J.F.H.Beyma) de Hoog
https://id.biodiversity.org.au/instance/fungi/60067119	Paecilomyces fusisporus S.B.Saksena	nomenclatural synonym	Acrophialophora fusispora (S.B.Saksena) Samson
https://id.biodiversity.org.au/instance/fungi/60066398	Arthonia ricasoliae Müll.Arg.	taxonomic synonym	Arthonia subconveniens Nyl.
https://id.biodiversity.org.au/instance/fungi/60066399	Conida ricasoliae (Müll.Arg.) Vouaux	synonym	Arthonia subconveniens Nyl.
https://id.biodiversity.org.au/instance/fungi/60066400	Melaspilea gallowayi S.Y.Kondr.	nomenclatural synonym	Plectocarpon gallowayi (S.Y.Kondr.) Ertz & Diederich
