	ID	citation
0	https://id.biodiversity.org.au/reference/fungi/60054517	AusFungi (2019), AusFungi 21 Jan. 2019
97	https://id.biodiversity.org.au/reference/fungi/60116256	Jung, T., Stukely, M.J.C., Hardy, G.E.St.J. et al. (20 January 2011), Multiple new Phytophthora species from ITS Clade 6 associated with natural ecosystems in Australia: evolutionary and ecological implications. Persoonia 26
125	https://id.biodiversity.org.au/reference/fungi/60080719	AusFungi (2020), AusFungi
1348	https://id.biodiversity.org.au/reference/fungi/60085860	Videira, S.I.R., Groenewald, J.Z., Nakashima, C. et al. (28 September 2017), Mycosphaerellaceae – Chaos or clarity?. Studies in Mycology 87
1352	https://id.biodiversity.org.au/reference/fungi/60115017	Tan, Y.P. & Shivas, R.G. (13 December 2022), Index of Australian Fungi 3
1407	https://id.biodiversity.org.au/reference/fungi/60083095	Taylor, K., Andjic, V., Barber, P.A. et al. (28 January 2011), New species of Teratosphaeria associated with leaf diseases on Corymbia calophylla (Marri). Mycological Progress 11
1961	https://id.biodiversity.org.au/reference/fungi/60116313	AusFungi (2023), AusFungi
1966	https://id.biodiversity.org.au/reference/fungi/60116108	Whitton, S.R., McKenzie, E.H.C. & Hyde, K.D. (2012), Fungi Associated with Pandanaceae. Fungal Diversity Research Series 21
1969	https://id.biodiversity.org.au/reference/fungi/60081995	Hou, L.W., Groenewald, J.Z., Pfenning, L.H., Yarden, O., Crous, P.W. & Cai, L. (21 May 2020), The phoma-like dilemma. Studies in Mycology 96
2680	https://id.biodiversity.org.au/reference/fungi/60115141	Valenzuela-Lopez, N., Cano-Lira, J.F., Guarro, J. et al. (2018), Coelomycetous Dothideomycetes with emphasis on the families Cucurbitariaceae and Didymellaceae. Studies in Mycology 90
4103	https://id.biodiversity.org.au/reference/fungi/60082992	Crous, P.W., Hernández-Restrepo, M., Schumacher, R.K. et al. (28 April 2021), New and Interesting Fungi. 4. Fungal Systematics and Evolution 7
4493	https://id.biodiversity.org.au/reference/fungi/60082022	Baral, H.O., Weber, E. & Marson. G. (30 October 2020), Monograph of Orbiliomycetes (Ascomycota) based on vital taxonomy
5624	https://id.biodiversity.org.au/reference/fungi/60116041	Laurence, M.H., Summerell, B.A., Burgess, L.W. & Liew, E.C.Y. (8 February 2011), Fusarium burgessii sp. nov. representing a novel lineage in the genus Fusarium. Fungal Diversity 49
5683	https://id.biodiversity.org.au/reference/fungi/60115964	Saksena, S.B. (1954), A new genus of Moniliaceae. Mycologia 46
5684	https://id.biodiversity.org.au/reference/fungi/60115962	Parkinson, L.E., Shivas, R.G. & Dann, E.K. (7 December 2016), Novel species of Gliocladiopsis (Nectriaceae, Hypocreales, Ascomycota) from avocado roots (Persea americana) in Australia. Mycoscience 58
6344	https://id.biodiversity.org.au/reference/fungi/60114867	Tan, Y.P. & Shivas, R.G. (10 November 2022), Index of Australian Fungi 2
6348	https://id.biodiversity.org.au/reference/fungi/60116338	Tan, Y.P., Edwards, J., Grice, K.R.E. & Shivas, R.G. (2013), Molecular phylogenetic analysis reveals six new species of Diaporthe from Australia. Fungal Diversity 61
