scientificNameID	scientificName	originalNameUsageID	originalNameUsage
https://id.biodiversity.org.au/name/lichen/30016344	Acanthothecis gyridia (Stirt.) A.W.Archer	https://id.biodiversity.org.au/name/lichen/30020883	Graphis gyridia Stirt.
https://id.biodiversity.org.au/name/lichen/30016346	Acanthothecis subaggregans (Müll.Arg.) A.W.Archer	https://id.biodiversity.org.au/name/lichen/30020886	Graphina subaggregans Müll.Arg.
https://id.biodiversity.org.au/name/lichen/30016351	Acarospora citrina (Taylor) Zahlbr. ex Rech.	https://id.biodiversity.org.au/name/lichen/30020892	Urceolaria citrina Taylor
https://id.biodiversity.org.au/name/lichen/30016352	Acarospora ferdinandii (Müll.Arg.) Hue	https://id.biodiversity.org.au/name/lichen/30020899	Placodium ferdinandii Müll.Arg.
https://id.biodiversity.org.au/name/lichen/30016360	Acarospora nodulosa var. reagens (Zahlbr.) Clauzade & Cl.Roux	https://id.biodiversity.org.au/name/lichen/30020900	Acarospora reagens Zahlbr.
https://id.biodiversity.org.au/name/lichen/30016367	Aderkomyces albostrigosus (R.Sant.) Lücking, Sérus. & Vězda	https://id.biodiversity.org.au/name/lichen/30020902	Tricharia albostrigosa R.Sant.
https://id.biodiversity.org.au/name/lichen/30016368	Aderkomyces guatemalensis (Lücking & Barillas) Lücking, Sérus. & Vězda	https://id.biodiversity.org.au/name/lichen/30020903	Tricharia guatemalensis Lücking & Barillas
https://id.biodiversity.org.au/name/lichen/30016369	Aderkomyces papilliferus (Lücking) Lücking, Sérus. & Vězda	https://id.biodiversity.org.au/name/lichen/30020904	Tricharia papillifera Lücking
https://id.biodiversity.org.au/name/lichen/30016370	Aderkomyces planus (Vězda) Lücking, Sérus. & Vězda	https://id.biodiversity.org.au/name/lichen/30020905	Tricharia plana Vězda
https://id.biodiversity.org.au/name/lichen/30016371	Aderkomyces verrucosus (Sérus.) Lücking, Sérus. & Vězda	https://id.biodiversity.org.au/name/lichen/30020906	Tricharia verrucosa Sérus.
https://id.biodiversity.org.au/name/lichen/30021878	Agonimia papillata (O.E.Erikss.) Diederich & Aptroot	https://id.biodiversity.org.au/name/lichen/30017585	Flakea papillata O.E.Erikss.
https://id.biodiversity.org.au/name/lichen/30016384	Amandinea decedens (Nyl.) Blaha & H.Mayrhofer	https://id.biodiversity.org.au/name/lichen/30020910	Lecidea decedens Nyl.
https://id.biodiversity.org.au/name/lichen/30177014	Amandinea nebulosa (Elix & Kantvilas) Elix & Kantvilas	https://id.biodiversity.org.au/name/lichen/30016727	Buellia nebulosa Elix & Kantvilas
https://id.biodiversity.org.au/name/lichen/30178401	Amandinea prospersa (Nyl.) Elix & H.Mayrhofer	https://id.biodiversity.org.au/name/lichen/30178097	Lecidea prospersa Nyl.
https://id.biodiversity.org.au/name/lichen/30016408	Ancistrosporella australiensis (G.Thor) G.Thor	https://id.biodiversity.org.au/name/lichen/30020929	Ancistrospora australiensis G.Thor
https://id.biodiversity.org.au/name/lichen/30016410	Angiactis littoralis (Kantvilas) Aptroot & Sparrius	https://id.biodiversity.org.au/name/lichen/30020931	Lecanographa littoralis Kantvilas
https://id.biodiversity.org.au/name/lichen/30016415	Anisomeridium anisolobum (Müll.Arg.) Aptroot	https://id.biodiversity.org.au/name/lichen/30020937	Arthopyrenia anisoloba Müll.Arg.
https://id.biodiversity.org.au/name/lichen/30016416	Anisomeridium australiense (P.M.McCarthy) R.C.Harris	https://id.biodiversity.org.au/name/lichen/30020938	Ditremis australiensis P.M.McCarthy
https://id.biodiversity.org.au/name/lichen/30016421	Anisomeridium laevigatum (P.M.McCarthy) R.C.Harris	https://id.biodiversity.org.au/name/lichen/30020939	Ditremis laevigata P.M.McCarthy
