taxonID	scientificName	taxonomicStatus	acceptedNameUsage
https://id.biodiversity.org.au/instance/lichen/30050625	Asperoporum rimale Müll.Arg.	taxonomic synonym	Arthonia banksiae Müll.Arg.
https://id.biodiversity.org.au/instance/lichen/30050626	Mycoporellum microspermum Müll.Arg.	taxonomic synonym	Arthonia banksiae Müll.Arg.
https://id.biodiversity.org.au/instance/lichen/30050630	Arthothelium ilicinum (Taylor) P.James	nomenclatural synonym	Arthonia ilicina Taylor
https://id.biodiversity.org.au/instance/lichen/30050631	Arthonia multiformis Shirley	taxonomic synonym	Arthonia ilicina Taylor
https://id.biodiversity.org.au/instance/lichen/30050632	Arthonia vulgaris Schaer.	taxonomic synonym	Arthonia radiata (Pers.) Ach.
https://id.biodiversity.org.au/instance/lichen/30050633	Arthonia epipastoides Nyl.	taxonomic synonym	Arthonia radiata (Pers.) Ach.
https://id.biodiversity.org.au/instance/lichen/30050634	Arthonia ricasoliae Müll.Arg.	taxonomic synonym	Arthonia subconveniens Nyl.
https://id.biodiversity.org.au/instance/lichen/30053705	Arthonia ricasoliae Müll.Arg.	taxonomic synonym	Arthonia subconveniens Nyl.
https://id.biodiversity.org.au/instance/lichen/30053842	Arthonia cinereoargentea C.Knight	nomenclatural synonym	Arthothelium cinereoargenteum (C.Knight) Zahlbr.
https://id.biodiversity.org.au/instance/lichen/30050643	Lecidea huegelii (Nyl.) Kremp.	nomenclatural synonym	Arthothelium huegelii (Nyl.) Zahlbr.
https://id.biodiversity.org.au/instance/lichen/30053843	Arthonia huegelii Nyl.	nomenclatural synonym	Arthothelium huegelii (Nyl.) Zahlbr.
https://id.biodiversity.org.au/instance/lichen/30050644	Arthothelium ferax Müll.Arg.	taxonomic synonym	Arthothelium interveniens (Nyl.) Zahlbr.
https://id.biodiversity.org.au/instance/lichen/30053997	Chiodecton mycelioides Vain.	nomenclatural synonym	Crypthonia mycelioides (Vain.) Frisch & G.Thor
https://id.biodiversity.org.au/instance/lichen/30051324	Herpothallon mycelioides (Vain.) Aptroot, Lücking & G.Thor	nomenclatural synonym	Crypthonia mycelioides (Vain.) Frisch & G.Thor
https://id.biodiversity.org.au/instance/lichen/30054016	Stirtonia macrocephala R.Sant.	nomenclatural synonym	Eremothecella macrocephala (R.Sant.) G.Thor, Sérus., Lücking & Matsumoto
https://id.biodiversity.org.au/instance/lichen/30054065	Cryptothecia australasica Elix	nomenclatural synonym	Herpothallon australasicum (Elix) Elix & G.Thor
