ID	rank	scientificName	uninomial	genus	specificEpithet	infraspecificEpithet	authorship	code	status
https://id.biodiversity.org.au/name/lichen/30024225	genus	Aabaarnia Diederich	Aabaarnia				Diederich	botanical	
https://id.biodiversity.org.au/name/lichen/30024226	species	Aabaarnia siphulicola Diederich		Aabaarnia	siphulicola		Diederich	botanical	
https://id.biodiversity.org.au/name/lichen/30020669	genus	Abrothallus De Not.	Abrothallus				De Not.	botanical	
https://id.biodiversity.org.au/name/lichen/30020670	species	Abrothallus parmeliarum (Sommerf.) Arnold		Abrothallus	parmeliarum		(Sommerf.) Arnold	botanical	
https://id.biodiversity.org.au/name/lichen/30016336	genus	Absconditella Vězda	Absconditella				Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016337	species	Absconditella celata Döbbeler & Poelt		Absconditella	celata		Döbbeler & Poelt	botanical	
https://id.biodiversity.org.au/name/lichen/30016338	species	Absconditella delutula (Nyl.) Coppins & H.Kilias		Absconditella	delutula		(Nyl.) Coppins & H.Kilias	botanical	
https://id.biodiversity.org.au/name/lichen/30016339	species	Absconditella lignicola Vězda & Pisut		Absconditella	lignicola		Vězda & Pisut	botanical	
https://id.biodiversity.org.au/name/lichen/30020882	species	Absconditella modesta (Hegetschw.) Vězda		Absconditella	modesta		(Hegetschw.) Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016340	genus	Acanthothecis Clem.	Acanthothecis				Clem.	botanical	
https://id.biodiversity.org.au/name/lichen/30016341	species	Acanthothecis abaphoides (Nyl.) Staiger & Kalb		Acanthothecis	abaphoides		(Nyl.) Staiger & Kalb	botanical	
https://id.biodiversity.org.au/name/lichen/30016342	species	Acanthothecis aquilonia A.W.Archer & Elix		Acanthothecis	aquilonia		A.W.Archer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30016343	species	Acanthothecis borealis A.W.Archer & Elix		Acanthothecis	borealis		A.W.Archer & Elix	botanical	
https://id.biodiversity.org.au/name/lichen/30020888	species	Acanthothecis gracilis Staiger & Kalb		Acanthothecis	gracilis		Staiger & Kalb	botanical	
https://id.biodiversity.org.au/name/lichen/30016344	species	Acanthothecis gyridia (Stirt.) A.W.Archer		Acanthothecis	gyridia		(Stirt.) A.W.Archer	botanical	
https://id.biodiversity.org.au/name/lichen/30016345	species	Acanthothecis silicicola Staiger & Kalb		Acanthothecis	silicicola		Staiger & Kalb	botanical	
https://id.biodiversity.org.au/name/lichen/30016346	species	Acanthothecis subaggregans (Müll.Arg.) A.W.Archer		Acanthothecis	subaggregans		(Müll.Arg.) A.W.Archer	botanical	
https://id.biodiversity.org.au/name/lichen/30016347	species	Acanthothecis tetraphora (Nyl.) Staiger & Kalb		Acanthothecis	tetraphora		(Nyl.) Staiger & Kalb	botanical	
https://id.biodiversity.org.au/name/lichen/30016348	species	Acanthothecis virgulicola Kantvilas		Acanthothecis	virgulicola		Kantvilas	botanical	
https://id.biodiversity.org.au/name/lichen/30016349	genus	Acarospora A.Massal.	Acarospora				A.Massal.	botanical	
https://id.biodiversity.org.au/name/lichen/30016350	species	Acarospora cervina (Ach.) A.Massal.		Acarospora	cervina		(Ach.) A.Massal.	botanical	
https://id.biodiversity.org.au/name/lichen/30016351	species	Acarospora citrina (Taylor) Zahlbr. ex Rech.		Acarospora	citrina		(Taylor) Zahlbr. ex Rech.	botanical	
https://id.biodiversity.org.au/name/lichen/30016352	species	Acarospora ferdinandii (Müll.Arg.) Hue		Acarospora	ferdinandii		(Müll.Arg.) Hue	botanical	
https://id.biodiversity.org.au/name/lichen/30016353	species	Acarospora fuscata (Nyl.) Arnold		Acarospora	fuscata		(Nyl.) Arnold	botanical	
https://id.biodiversity.org.au/name/lichen/30016354	species	Acarospora fuscorufa F.Wilson ex H.Magn.		Acarospora	fuscorufa		F.Wilson ex H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30016355	species	Acarospora glaucocarpa Körb.		Acarospora	glaucocarpa		Körb.	botanical	
https://id.biodiversity.org.au/name/lichen/30020897	species	Acarospora initialis H.Magn.		Acarospora	initialis		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30016356	species	Acarospora macrocarpa H.Magn.		Acarospora	macrocarpa		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30016357	species	Acarospora negligens H.Magn.		Acarospora	negligens		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30016358	species	Acarospora nodulosa (Dufour) Hue		Acarospora	nodulosa		(Dufour) Hue	botanical	
https://id.biodiversity.org.au/name/lichen/30016359	variety	Acarospora nodulosa (Dufour) Hue var. nodulosa		Acarospora	nodulosa	nodulosa		botanical	
https://id.biodiversity.org.au/name/lichen/30016360	variety	Acarospora nodulosa var. reagens (Zahlbr.) Clauzade & Cl.Roux		Acarospora	nodulosa	reagens	(Zahlbr.) Clauzade & Cl.Roux	botanical	
https://id.biodiversity.org.au/name/lichen/30016361	species	Acarospora novae-hollandiae H.Magn.		Acarospora	novae-hollandiae		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30020898	species	Acarospora oculata H.Magn.		Acarospora	oculata		H.Magn.	botanical	
https://id.biodiversity.org.au/name/lichen/30020900	species	Acarospora reagens Zahlbr.		Acarospora	reagens		Zahlbr.	botanical	
https://id.biodiversity.org.au/name/lichen/30020896	species	Acarospora schleicheri (Ach.) A.Massal.		Acarospora	schleicheri		(Ach.) A.Massal.	botanical	
https://id.biodiversity.org.au/name/lichen/30019292	species	Acarospora simplex (Davies) Vězda		Acarospora	simplex		(Davies) Vězda	botanical	
https://id.biodiversity.org.au/name/lichen/30016362	species	Acarospora sinopica (Wahlenb.) Körb.		Acarospora	sinopica		(Wahlenb.) Körb.	botanical	
https://id.biodiversity.org.au/name/lichen/30022523	species	Acarospora smaragdula (Wahlenb.) A.Massal.		Acarospora	smaragdula		(Wahlenb.) A.Massal.	botanical	
https://id.biodiversity.org.au/name/lichen/30016363	species	Acarospora tasmanica Räsänen		Acarospora	tasmanica		Räsänen	botanical	
